Qty,Value,Device,Package,Parts,Description
24,,40-XX,B3F-40XX,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, DEC, E, F, F1, F2, F3, F4, GO, INC, SEL",OMRON SWITCH
3,,CPOL-EUE3.5-8,"E3,5-8","C22, C23, C24","POLARIZED CAPACITOR, European symbol"
1,,DIP-TOGGLE-SWITCH-2CH-(2X3P-2.54-90D)'90D',SW6-2.54-9.0X3.5X3.2MM-90D,SW1,311030004
1,,L-EUL4532P,L4532P,L1,"INDUCTOR, European symbol"
1,,LED5MM,LED5MM,POWER,LED
1,,M02JST-PTH-2,JST-2-PTH,JP4,Header 2
2,,PINHD-2X14,2X14,"JP1, JP3",PIN HEADER
1,,PINHD-2X16/90,2X16/90,JP2,PIN HEADER
3,,SJ,SJ,"SJ1, SJ2, SJ3",SMD solder JUMPER
1,,ULN2803A,DIL18,U13,DRIVER ARRAY
1,10-50p,C-TRIMM3050.504,CTRIM3050.504,C2,Trimm capacitor
1,100K,R-EU_0204/5,0204/5,R13,"RESISTOR, European symbol"
8,100R,R-EU_0204/5,0204/5,"R6, R7, R23, R24, R25, R26, R27, R28","RESISTOR, European symbol"
14,100n,C-EU050-024X044,C050-024X044,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17","CAPACITOR, European symbol"
2,100n,C-EUC0805K,C0805K,"C18, C20","CAPACITOR, European symbol"
6,10K,R-EU_0204/5,0204/5,"R12, R14, R15, R16, R17, R22","RESISTOR, European symbol"
1,10K,RN08,RN-9,RN1,RESISTOR NETWORK
1,10p,C-EU025-025X050,C025-025X050,C1,"CAPACITOR, European symbol"
1,1K,R-EU_0204/5,0204/5,R38,"RESISTOR, European symbol"
1,1K,R-EU_R0805,R0805,R40,"RESISTOR, European symbol"
7,1N4148,1N4148DO35-7,DO35-7,"D1, D2, D3, D4, D5, D6, D7",DIODE
1,1u,CPOL-EUE2-5,E2-5,C3,"POLARIZED CAPACITOR, European symbol"
4,220R,R-EU_0204/5,0204/5,"R8, R9, R10, R11","RESISTOR, European symbol"
1,2716,2716,DIL24,U2,MEMORY
1,32K,CRYSTALTC26H,TC26H,Q1,CRYSTAL
1,330K,R-EU_0204/5,0204/5,R5,"RESISTOR, European symbol"
1,4060N,4060N,DIL16,U6,14-stage binary/ripple COUNTER
1,470R,R-EU_R0805,R0805,R39,"RESISTOR, European symbol"
4,4K7,R-EU_0204/5,0204/5,"R18, R19, R20, R21","RESISTOR, European symbol"
2,4u7,C-EUC0805K,C0805K,"C19, C21","CAPACITOR, European symbol"
3,5M1,R-EU_0204/5,0204/5,"R1, R2, R3","RESISTOR, European symbol"
1,6502_CPU,6502_CPU,DIL40,U1,
1,6K8,R-EU_R0805,R0805,R41,"RESISTOR, European symbol"
1,74HC00N,74HC00N,DIL14,U19,Quad 2-input NAND gate
1,74HC138N,74HC138N,DIL16,U4,3-line to 8-line DECODER/DEMULTIPLEXER
1,74HC14N,74HC14N,DIL14,U5,Hex schmitt trigger INVERTER
2,74HC244N,74HC244N,DIL20,"U8, U9","Octal BUFFER and LINE DRIVER, 3-state"
1,74HC245N,74HC245N,DIL20,U10,"Octal BUS TRANSCEIVER, 3-state"
2,74HC373N,74HC373N,DIL20,"U11, U12","Octal D type transparent LATCH, edge triggered"
1,74HC74N,74HC74N,DIL14,U7,"Dual D type positive edge triggered FLIP FLOP, preset and clear"
1,89p,C-EU025-025X050,C025-025X050,C25,"CAPACITOR, European symbol"
1,BC547,BC547,TO92,Q2,NPN Transistor
8,BC557,BC557,TO92-EBC,"Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10",PNP Transistror
1,CDM6118,6116P,DIL24-6,U3,MEMORY
1,DNP,R-EU_0204/5,0204/5,R4,"RESISTOR, European symbol"
8,LA-401AD,LA-401AD,LA-401,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",Single Digit LED Numeric Display (anode common)
1,MICRO_USB_LIPO_MODULE,MICRO_USB_LIPO_MODULE,MICRO_USB_LIPO_MODULE,U14,
1,SS31,SCHOTTKY-DIODESMD,SMB,D8,Schottky Diode
1,SW_TACT_4P_B,SW_TACT_4P_B,SW_TACT_STANDARD_RIGHT_ANGLE,RESET,
1,SX1308,SX1308,SOT23-6,U15,
8,"TPB1,27","TPB1,27","B1,27","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",Test pad
